iteration,avg_loss,best_reward,avg_episode_return,avg_episode_length
269,19.12940549850464,479.28474769375634,224.7115584401049,404.2
270,19.598981857299805,479.28474769375634,227.42782555295693,408.9
271,26.659600734710693,479.28474769375634,198.62371029945587,360.4
272,19.554026126861572,479.28474769375634,184.1786943740728,333.1
273,24.94018316268921,479.28474769375634,181.36877149203426,329.0
274,19.23320960998535,479.28474769375634,181.88645807020228,328.5
275,15.397733211517334,479.28474769375634,173.40884466343266,315.9
276,15.576439380645752,479.28474769375634,179.74508326790578,326.7
277,20.794890880584717,479.28474769375634,187.8805822799216,340.0
278,13.430860996246338,479.28474769375634,179.89168907136246,325.6
279,36.374154567718506,479.28474769375634,197.93471981619518,356.1
280,25.83036518096924,479.28474769375634,201.23405615984,364.4
281,20.932573795318604,479.28474769375634,192.3702144892607,353.1
282,26.17331075668335,479.28474769375634,188.34460601435313,349.5
283,19.277027130126953,479.28474769375634,166.71024624128125,315.5
284,23.559753894805908,479.28474769375634,178.2109211369142,336.9
285,8.064995765686035,479.28474769375634,174.6784730040818,330.5
286,17.83761692047119,479.28474769375634,193.2675791124437,361.1
287,21.513656616210938,479.28474769375634,196.69262124680947,368.6
288,24.254598140716553,479.28474769375634,183.87136244180834,347.5
289,9.76706051826477,479.28474769375634,179.6585039234651,339.4
290,10.381373643875122,479.28474769375634,203.2889498541411,380.0
291,15.152747869491577,479.28474769375634,214.8917735798062,397.7
292,11.600965738296509,479.28474769375634,233.76408055570147,427.4
293,25.3189640045166,479.28474769375634,231.2442818853956,423.0
294,21.528608322143555,479.28474769375634,226.956219187915,419.4
295,20.375364303588867,479.28474769375634,211.68058154501165,392.2
296,7.523576855659485,479.28474769375634,209.22572590319731,390.4
297,5.108796954154968,479.28474769375634,213.08844431596995,398.5
298,18.555686473846436,479.28474769375634,218.0595718008846,402.5
299,16.86047649383545,479.28474769375634,219.15322845277083,404.2
300,18.475831985473633,479.28474769375634,197.58946848254635,362.5
301,16.789608478546143,479.28474769375634,184.3754378688582,338.0
302,15.47635793685913,479.28474769375634,179.0784120663463,330.1
303,17.215778827667236,479.28474769375634,179.1425342384013,330.7
304,22.11014175415039,479.28474769375634,177.52685858250197,326.4
305,3.823465406894684,479.28474769375634,182.2436881486711,334.7
306,16.478849411010742,479.28474769375634,182.19345742690913,332.3
307,13.050730466842651,479.28474769375634,186.51724381981148,341.4
308,11.55890965461731,479.28474769375634,183.0353808615484,335.0
309,6.759050726890564,479.28474769375634,183.4058305082497,336.0
310,19.213192462921143,479.28474769375634,183.15637181422613,339.5
311,18.13038396835327,479.28474769375634,182.93091199099382,343.0
312,11.177695989608765,479.28474769375634,197.3731977485415,372.8
313,8.86445164680481,479.28474769375634,200.012139505059,374.8
314,15.794059038162231,479.28474769375634,198.02958314839702,367.8
315,13.164412021636963,479.28474769375634,200.64424522442678,367.3
316,15.077471494674683,479.28474769375634,171.78106512131038,315.5
317,19.96180295944214,479.28474769375634,178.43106998232963,328.8
318,12.387186050415039,479.28474769375634,170.69287205237416,314.5
319,12.638113498687744,479.28474769375634,176.24515495286468,325.6
320,9.278399229049683,479.28474769375634,169.32167430920094,312.8
321,19.29216241836548,479.28474769375634,183.90606233803538,337.0
322,21.433526039123535,479.28474769375634,184.5414267612906,338.1
323,10.273786306381226,479.28474769375634,181.4028209361651,333.7
324,16.872169256210327,479.28474769375634,177.53529481614495,326.5
325,14.373767614364624,479.28474769375634,191.3122487847524,355.7
326,17.741294860839844,479.28474769375634,192.62922563172827,357.3
327,6.792628169059753,479.28474769375634,211.92843197065727,391.6
328,17.264098167419434,479.28474769375634,199.21492158845345,361.1
329,15.254081964492798,479.28474769375634,193.49699309103627,352.0
330,18.296915531158447,479.28474769375634,198.19658706851945,359.5
331,14.82810664176941,479.28474769375634,181.07880091428905,332.2
332,16.579132556915283,479.28474769375634,184.68654579953767,339.3
333,12.649057149887085,479.28474769375634,182.0652173019032,333.5
334,13.356508255004883,479.28474769375634,179.6893112069031,326.5
335,14.536686420440674,479.28474769375634,181.90861535230775,332.4
336,3.984758675098419,479.28474769375634,185.22781578055776,338.4
337,14.975003719329834,479.28474769375634,196.39039017086986,360.6
338,15.303436756134033,479.28474769375634,193.4462036114227,357.3
339,13.587207794189453,479.28474769375634,187.35177022511607,348.7
340,14.722500085830688,479.28474769375634,175.66713881812026,325.6
341,8.614656209945679,479.28474769375634,174.19084263496123,322.1
342,14.767600536346436,479.28474769375634,188.03599192754902,342.0
343,16.228041648864746,479.28474769375634,185.55414697019017,338.4
344,15.81489634513855,479.28474769375634,184.79501709735308,335.6
345,13.136787176132202,479.28474769375634,185.3270759011766,336.0
346,3.411092162132263,479.28474769375634,187.23103910313233,339.4
347,4.295358896255493,479.28474769375634,205.53174732504846,369.9
348,13.651185035705566,479.28474769375634,225.26387370341862,406.2
349,17.266379833221436,479.28474769375634,218.6124137767295,397.6
350,16.212557077407837,479.28474769375634,199.8717643675912,365.8
351,5.034610390663147,479.28474769375634,182.30498894070857,333.7
352,15.007578372955322,479.28474769375634,202.85321262204678,370.4
353,27.228900909423828,479.28474769375634,217.1337096506877,405.3
354,6.9258915185928345,479.28474769375634,217.65386006214135,408.0
355,21.25431489944458,479.28474769375634,222.7915234753669,416.0
356,16.98920774459839,479.28474769375634,213.21647484710448,396.5
357,17.6110577583313,479.28474769375634,194.6673844152848,351.5
358,18.364356517791748,479.28474769375634,186.1770327468894,337.4
359,14.689847469329834,479.28474769375634,180.5736946926627,329.2
360,10.77097773551941,479.28474769375634,184.6041525099942,339.1
361,14.498653650283813,479.28474769375634,181.96047978651364,333.1
362,17.870416164398193,479.28474769375634,182.7368230359816,332.5
